"Mental Health related emergency department visits (annual) by Age (years) for Total mental health presentations by Sex"
"Age (years)","Presentation type","Sex","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"25-34 years","Total mental health presentations","Persons","22/23","2,218.3","2,191.4","2,245.5"
"25-34 years","Total mental health presentations","Persons","23/24","2,262.8","2,236.1","2,289.6"
"25-34 years","Total mental health presentations","Persons","24/25","2,214.3","2,188.3","2,240.6"
"35-64 years","Total mental health presentations","Males","12/13","1,263.2","1,244.6","1,281.9"
"35-64 years","Total mental health presentations","Males","13/14","1,326.8","1,307.8","1,345.9"
"35-64 years","Total mental health presentations","Males","14/15","1,418.9","1,399.4","1,438.6"
"35-64 years","Total mental health presentations","Males","15/16","1,470.6","1,450.8","1,490.6"
"35-64 years","Total mental health presentations","Males","16/17","1,517.5","1,497.5","1,537.8"
"35-64 years","Total mental health presentations","Males","17/18","1,510.0","1,490.2","1,530.1"
"35-64 years","Total mental health presentations","Males","18/19","1,592.0","1,571.7","1,612.5"
"35-64 years","Total mental health presentations","Males","19/20","1,574.6","1,554.6","1,594.9"
"35-64 years","Total mental health presentations","Males","20/21","1,535.8","1,516.1","1,555.7"
"35-64 years","Total mental health presentations","Males","21/22","1,574.3","1,554.4","1,594.3"
"35-64 years","Total mental health presentations","Males","22/23","1,691.0","1,670.4","1,711.7"
"35-64 years","Total mental health presentations","Males","23/24","1,794.0","1,772.9","1,815.2"
"35-64 years","Total mental health presentations","Males","24/25","1,783.0","1,762.2","1,804.1"
"35-64 years","Total mental health presentations","Females","12/13","1,229.0","1,210.9","1,247.3"
"35-64 years","Total mental health presentations","Females","13/14","1,289.0","1,270.6","1,307.7"
"35-64 years","Total mental health presentations","Females","14/15","1,311.1","1,292.6","1,329.8"
"35-64 years","Total mental health presentations","Females","15/16","1,326.6","1,308.0","1,345.4"
"35-64 years","Total mental health presentations","Females","16/17","1,356.3","1,337.6","1,375.2"
"35-64 years","Total mental health presentations","Females","17/18","1,323.1","1,304.7","1,341.6"
"35-64 years","Total mental health presentations","Females","18/19","1,384.7","1,366.0","1,403.5"
"35-64 years","Total mental health presentations","Females","19/20","1,312.7","1,294.6","1,331.0"
"35-64 years","Total mental health presentations","Females","20/21","1,297.5","1,279.6","1,315.5"
