"Mental health related emergency department visits (monthly) by Age (years) for Total mental health presentations by Sex and LHD"
"Age (years)","Presentation type","Sex","LHD","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"35-64 years","Total mental health presentations","Persons","Sydney LHD","2025-Q3","297.6","277.4","318.8"
"35-64 years","Total mental health presentations","Persons","Sydney LHD","2025-Q4","294.8","274.7","315.9"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2015-Q4","322.2","303.7","341.5"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2016-Q1","317.8","299.6","336.8"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2016-Q2","319.0","300.8","338.0"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2016-Q3","324.5","306.1","343.7"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2016-Q4","325.7","307.3","344.9"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2017-Q1","312.1","294.3","330.8"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2017-Q2","305.1","287.5","323.5"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2017-Q3","294.8","277.5","312.9"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2017-Q4","299.7","282.3","318.0"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2018-Q1","305.3","287.9","323.5"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2018-Q2","312.0","294.4","330.4"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2018-Q3","324.0","306.1","342.8"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2018-Q4","329.9","311.8","348.8"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2019-Q1","329.8","311.9","348.6"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2019-Q2","340.4","322.2","359.4"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2019-Q3","340.5","322.3","359.5"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2019-Q4","343.1","324.8","362.2"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2020-Q1","331.8","314.0","350.3"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2020-Q2","321.0","303.5","339.3"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2020-Q3","317.7","300.3","335.9"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2020-Q4","311.9","294.7","330.0"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2021-Q1","308.0","290.9","325.7"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2021-Q2","312.9","295.7","330.8"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2021-Q3","316.3","299.1","334.3"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2021-Q4","320.4","303.0","338.5"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2022-Q1","303.3","286.5","320.8"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2022-Q2","295.0","278.5","312.3"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2022-Q3","297.7","281.0","315.0"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2022-Q4","299.8","283.1","317.3"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2023-Q1","315.9","298.9","333.6"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2023-Q2","330.2","312.9","348.3"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2023-Q3","339.3","321.7","357.7"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2023-Q4","343.1","325.4","361.6"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2024-Q1","344.0","326.1","362.7"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2024-Q2","343.9","326.0","362.6"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2024-Q3","336.1","318.3","354.5"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2024-Q4","337.1","319.4","355.6"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2025-Q1","330.8","313.4","349.0"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2025-Q2","335.8","318.2","354.1"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2025-Q3","343.5","325.7","362.0"
"35-64 years","Total mental health presentations","Persons","South Western Sydney LHD","2025-Q4","341.3","323.6","359.7"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2015-Q4","259.4","242.5","277.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2016-Q1","258.4","241.6","276.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2016-Q2","270.1","252.9","288.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2016-Q3","277.0","259.6","295.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2016-Q4","276.5","259.1","294.7"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2017-Q1","274.4","257.2","292.4"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2017-Q2","273.2","256.0","291.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2017-Q3","267.1","250.1","284.9"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2017-Q4","272.6","255.4","290.6"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2018-Q1","273.1","256.0","291.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2018-Q2","273.2","256.1","291.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2018-Q3","281.4","264.0","299.6"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2018-Q4","281.5","264.1","299.7"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2019-Q1","282.9","265.5","301.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2019-Q2","286.8","269.2","305.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2019-Q3","284.8","267.4","303.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2019-Q4","285.3","267.8","303.6"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2020-Q1","282.6","265.2","300.8"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2020-Q2","279.4","262.1","297.5"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2020-Q3","275.6","258.4","293.5"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2020-Q4","269.6","252.6","287.3"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2021-Q1","267.4","250.4","285.3"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2021-Q2","268.3","251.3","286.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2021-Q3","268.5","251.5","286.4"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2021-Q4","273.2","256.0","291.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2022-Q1","276.7","259.4","294.9"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2022-Q2","274.6","257.3","292.7"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2022-Q3","277.6","260.2","295.8"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2022-Q4","271.7","254.5","289.7"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2023-Q1","277.8","260.5","295.9"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2023-Q2","277.0","259.8","295.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2023-Q3","274.4","257.2","292.4"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2023-Q4","275.7","258.5","293.8"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2024-Q1","254.1","237.9","271.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2024-Q2","256.1","239.9","273.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2024-Q3","256.1","239.9","273.2"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2024-Q4","258.0","241.7","275.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2025-Q1","267.7","251.2","285.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2025-Q2","278.4","261.5","296.1"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2025-Q3","285.0","267.9","302.9"
"35-64 years","Total mental health presentations","Persons","South Eastern Sydney LHD","2025-Q4","291.0","273.7","309.1"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2015-Q4","406.1","374.6","439.5"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2016-Q1","411.3","379.7","444.9"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2016-Q2","412.8","381.1","446.5"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2016-Q3","410.4","378.7","443.9"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2016-Q4","418.6","386.7","452.5"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2017-Q1","403.1","371.7","436.3"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2017-Q2","400.9","369.7","434.1"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2017-Q3","400.3","369.0","433.4"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2017-Q4","395.3","364.3","428.3"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2018-Q1","414.9","383.2","448.6"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2018-Q2","415.4","383.6","449.1"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2018-Q3","425.9","393.8","460.1"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2018-Q4","448.8","415.8","483.8"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2019-Q1","456.8","423.6","492.1"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2019-Q2","468.2","434.4","503.8"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2019-Q3","475.4","441.4","511.3"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2019-Q4","472.3","438.4","508.0"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2020-Q1","460.2","427.0","495.3"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2020-Q2","459.4","426.2","494.5"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2020-Q3","445.6","412.9","480.2"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2020-Q4","434.8","402.5","468.9"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2021-Q1","417.7","386.2","451.0"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2021-Q2","415.4","384.1","448.7"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2021-Q3","417.0","385.6","450.3"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2021-Q4","424.2","392.5","457.8"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2022-Q1","420.4","388.9","453.8"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2022-Q2","412.7","381.5","445.8"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2022-Q3","415.3","384.0","448.5"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2022-Q4","413.7","382.5","446.8"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2023-Q1","420.8","389.3","454.2"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2023-Q2","423.7","392.1","457.1"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2023-Q3","433.4","401.4","467.2"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2023-Q4","434.7","402.6","468.5"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2024-Q1","455.5","422.8","489.9"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2024-Q2","475.2","441.8","510.4"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2024-Q3","477.4","444.0","512.6"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2024-Q4","507.2","472.7","543.5"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2025-Q1","498.3","464.2","534.1"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2025-Q2","504.4","470.1","540.4"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2025-Q3","505.3","471.0","541.4"
"35-64 years","Total mental health presentations","Persons","Illawarra Shoalhaven LHD","2025-Q4","472.4","439.3","507.4"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2015-Q4","189.6","175.3","204.8"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2016-Q1","191.7","177.5","206.8"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2016-Q2","193.3","179.0","208.4"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2016-Q3","193.1","178.9","208.3"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2016-Q4","191.2","177.0","206.2"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2017-Q1","182.6","169.0","197.1"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2017-Q2","182.5","168.9","196.9"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2017-Q3","182.9","169.3","197.4"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2017-Q4","189.2","175.3","203.9"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2018-Q1","186.0","172.5","200.4"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2018-Q2","190.9","177.2","205.4"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2018-Q3","197.8","183.8","212.6"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2018-Q4","200.8","186.7","215.7"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2019-Q1","196.4","182.7","210.9"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2019-Q2","200.4","186.6","215.1"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2019-Q3","200.1","186.2","214.7"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2019-Q4","206.8","192.7","221.7"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2020-Q1","202.6","188.9","217.1"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2020-Q2","205.4","191.6","220.0"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2020-Q3","209.4","195.4","224.1"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2020-Q4","207.7","193.7","222.3"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2021-Q1","213.3","199.4","228.0"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2021-Q2","216.7","202.6","231.5"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2021-Q3","221.2","207.0","236.2"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2021-Q4","224.8","210.4","239.9"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2022-Q1","214.4","200.5","229.0"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2022-Q2","215.1","201.2","229.7"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2022-Q3","225.3","211.1","240.2"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2022-Q4","235.2","220.7","250.5"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2023-Q1","241.1","226.6","256.2"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2023-Q2","244.9","230.3","260.2"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2023-Q3","244.1","229.5","259.4"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2023-Q4","246.4","231.7","261.7"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2024-Q1","258.7","243.4","274.6"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2024-Q2","265.0","249.5","281.2"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2024-Q3","262.5","247.1","278.6"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2024-Q4","259.6","244.3","275.6"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2025-Q1","257.7","242.6","273.5"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2025-Q2","260.5","245.3","276.4"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2025-Q3","267.4","252.1","283.5"
"35-64 years","Total mental health presentations","Persons","Western Sydney LHD","2025-Q4","272.2","256.7","288.5"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2015-Q4","413.2","380.4","448.1"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2016-Q1","404.2","371.8","438.6"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2016-Q2","410.3","377.7","445.0"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2016-Q3","424.1","390.9","459.3"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2016-Q4","431.8","398.3","467.4"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2017-Q1","429.6","396.2","465.1"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2017-Q2","411.3","378.7","446.1"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2017-Q3","379.0","347.7","412.4"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2017-Q4","348.9","318.9","381.0"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2018-Q1","328.4","299.3","359.5"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2018-Q2","331.5","302.3","362.8"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2018-Q3","342.7","313.0","374.4"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2018-Q4","346.6","316.7","378.5"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2019-Q1","343.1","313.5","374.8"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2019-Q2","333.0","303.9","364.2"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2019-Q3","330.4","301.4","361.5"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2019-Q4","329.7","300.7","360.8"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2020-Q1","326.0","297.4","356.7"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2020-Q2","337.7","308.5","368.9"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2020-Q3","338.2","309.0","369.4"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2020-Q4","336.8","307.7","368.0"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2021-Q1","342.6","313.4","373.8"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2021-Q2","336.7","307.7","367.7"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2021-Q3","341.8","312.6","373.0"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2021-Q4","350.4","320.9","382.0"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2022-Q1","341.6","312.4","372.8"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2022-Q2","335.7","306.7","366.6"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2022-Q3","331.6","302.9","362.3"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2022-Q4","333.0","304.2","363.7"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2023-Q1","344.4","315.2","375.6"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2023-Q2","361.2","331.3","393.1"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2023-Q3","371.5","341.1","403.8"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2023-Q4","372.3","342.0","404.7"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2024-Q1","396.0","364.4","429.5"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2024-Q2","412.3","380.1","446.5"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2024-Q3","415.9","383.6","450.3"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2024-Q4","441.3","408.0","476.7"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2025-Q1","440.8","407.5","476.0"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2025-Q2","437.2","404.1","472.3"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2025-Q3","457.9","424.0","493.8"
"35-64 years","Total mental health presentations","Persons","Nepean Blue Mountains LHD","2025-Q4","448.6","415.0","484.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2015-Q4","199.4","185.1","214.6"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2016-Q1","196.2","182.0","211.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2016-Q2","197.1","182.9","212.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2016-Q3","209.2","194.6","224.7"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2016-Q4","212.7","198.0","228.3"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2017-Q1","208.6","194.1","223.9"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2017-Q2","213.2","198.5","228.7"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2017-Q3","210.8","196.2","226.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2017-Q4","210.4","195.9","225.8"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2018-Q1","206.0","191.7","221.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2018-Q2","210.6","196.1","225.8"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2018-Q3","214.9","200.3","230.4"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2018-Q4","207.9","193.5","223.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2019-Q1","197.1","183.2","211.8"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2019-Q2","180.2","166.9","194.3"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2019-Q3","160.0","147.5","173.3"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2019-Q4","154.9","142.6","168.0"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2020-Q1","150.9","138.8","163.8"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2020-Q2","149.3","137.3","162.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2020-Q3","152.6","140.4","165.5"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2020-Q4","148.8","136.8","161.6"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2021-Q1","150.5","138.4","163.4"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2021-Q2","151.1","138.9","164.0"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2021-Q3","165.6","152.9","179.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2021-Q4","186.2","172.7","200.5"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2022-Q1","199.4","185.4","214.3"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2022-Q2","211.6","197.1","226.8"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2022-Q3","212.2","197.7","227.5"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2022-Q4","213.7","199.2","229.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2023-Q1","222.3","207.5","237.8"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2023-Q2","231.7","216.6","247.6"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2023-Q3","234.0","218.9","250.0"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2023-Q4","232.8","217.6","248.7"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2024-Q1","229.6","214.7","245.2"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2024-Q2","221.9","207.2","237.3"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2024-Q3","224.3","209.6","239.8"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2024-Q4","225.0","210.3","240.5"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2025-Q1","225.4","210.7","240.9"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2025-Q2","232.7","217.8","248.4"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2025-Q3","235.3","220.3","251.1"
"35-64 years","Total mental health presentations","Persons","Northern Sydney LHD","2025-Q4","244.4","229.1","260.5"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2015-Q4","368.7","335.9","403.8"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2016-Q1","386.5","353.1","422.3"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2016-Q2","399.5","365.5","435.8"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2016-Q3","402.3","368.1","438.7"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2016-Q4","405.4","371.1","442.0"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2017-Q1","407.7","373.4","444.3"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2017-Q2","402.8","368.7","439.2"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2017-Q3","398.5","364.6","434.7"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2017-Q4","404.0","369.8","440.4"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2018-Q1","393.7","360.0","429.6"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2018-Q2","390.9","357.4","426.7"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2018-Q3","398.2","364.3","434.3"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2018-Q4","407.2","372.9","443.7"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2019-Q1","411.7","377.3","448.3"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2019-Q2","424.1","389.2","461.3"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2019-Q3","429.8","394.7","467.2"
"35-64 years","Total mental health presentations","Persons","Central Coast LHD","2019-Q4","436.8","401.4","474.5"
