"Intentional self-harm hospitalisations by Sex and Age (years)"
"Sex","Age (years)","Period","Age standardised rate per 100,000 population","LL 95% CI","UL 95% CI"
"Females","75+ years","06/07","26.7","20.8","33.7"
"Females","75+ years","07/08","28.3","22.1","35.7"
"Females","75+ years","08/09","29.2","23.0","36.5"
"Females","75+ years","09/10","31.1","24.7","38.5"
"Females","75+ years","10/11","29.2","23.2","36.3"
"Females","75+ years","11/12","32.3","25.9","39.7"
"Females","75+ years","12/13","32.1","25.7","39.5"
"Females","75+ years","13/14","33.1","26.8","40.4"
"Females","75+ years","14/15","29.4","23.4","36.3"
"Females","75+ years","15/16","39.5","32.6","47.4"
"Females","75+ years","16/17","35.2","28.8","42.5"
"Females","75+ years","17/18","32.2","26.0","39.2"
"Females","75+ years","18/19","33.7","27.5","40.7"
"Females","75+ years","19/20","31.8","25.9","38.5"
"Females","75+ years","20/21","30.3","24.6","36.8"
"Females","75+ years","21/22","30.9","25.3","37.3"
"Females","75+ years","22/23","30.1","24.7","36.3"
"Females","75+ years","23/24","29.5","24.2","35.6"
"Females","All ages","01/02","61.2","58.6","64.0"
"Females","All ages","02/03","61.6","58.9","64.3"
"Females","All ages","03/04","66.6","63.8","69.4"
"Females","All ages","04/05","68.0","65.2","70.9"
"Females","All ages","05/06","75.4","72.4","78.4"
"Females","All ages","06/07","80.9","77.9","84.1"
"Females","All ages","07/08","79.1","76.1","82.1"
"Females","All ages","08/09","84.4","81.3","87.5"
"Females","All ages","09/10","90.9","87.8","94.2"
"Females","All ages","10/11","87.2","84.1","90.4"
"Females","All ages","11/12","96.3","93.1","99.6"
"Females","All ages","12/13","109.8","106.3","113.3"
"Females","All ages","13/14","112.2","108.7","115.7"
"Females","All ages","14/15","112.8","109.4","116.4"
"Females","All ages","15/16","117.6","114.1","121.2"
"Females","All ages","16/17","122.0","118.4","125.6"
"Females","All ages","17/18","105.7","102.4","109.0"
"Females","All ages","18/19","100.6","97.4","103.8"
"Females","All ages","19/20","95.4","92.3","98.6"
"Females","All ages","20/21","104.3","101.0","107.7"
"Females","All ages","21/22","92.1","89.0","95.2"
"Females","All ages","22/23","79.1","76.3","82.0"
"Females","All ages","23/24","69.4","66.8","72.0"
"Persons","10-14 years","01/02","23.3","19.0","28.2"
"Persons","10-14 years","02/03","22.1","17.9","26.8"
"Persons","10-14 years","03/04","29.5","24.7","34.9"
"Persons","10-14 years","04/05","29.9","25.1","35.4"
"Persons","10-14 years","05/06","36.0","30.7","42.0"
"Persons","10-14 years","06/07","27.1","22.5","32.4"
"Persons","10-14 years","07/08","21.7","17.6","26.4"
"Persons","10-14 years","08/09","25.1","20.7","30.2"
"Persons","10-14 years","09/10","29.6","24.8","35.1"
"Persons","10-14 years","10/11","24.9","20.5","30.0"
"Persons","10-14 years","11/12","28.5","23.8","33.9"
"Persons","10-14 years","12/13","51.9","45.5","59.1"
"Persons","10-14 years","13/14","44.2","38.2","50.8"
"Persons","10-14 years","14/15","47.8","41.6","54.7"
"Persons","10-14 years","15/16","54.3","47.7","61.5"
"Persons","10-14 years","16/17","64.3","57.2","72.1"
"Persons","10-14 years","17/18","52.5","46.2","59.5"
"Persons","10-14 years","18/19","49.2","43.1","55.8"
"Persons","10-14 years","19/20","49.8","43.8","56.4"
"Persons","10-14 years","20/21","82.4","74.7","90.7"
"Persons","10-14 years","21/22","75.5","68.2","83.5"
"Persons","10-14 years","22/23","62.9","56.2","70.1"
"Persons","10-14 years","23/24","45.7","40.0","51.9"
"Persons","15-19 years","01/02","98.8","89.7","108.4"
"Persons","15-19 years","02/03","99.7","90.7","109.4"
"Persons","15-19 years","03/04","120.0","110.0","130.6"
"Persons","15-19 years","04/05","132.0","121.6","143.1"
"Persons","15-19 years","05/06","140.3","129.6","151.7"
"Persons","15-19 years","06/07","134.5","124.0","145.6"
"Persons","15-19 years","07/08","129.2","119.0","140.0"
"Persons","15-19 years","08/09","127.6","117.5","138.2"
"Persons","15-19 years","09/10","153.5","142.5","165.2"
"Persons","15-19 years","10/11","161.6","150.2","173.6"
"Persons","15-19 years","11/12","183.2","171.1","196.0"
"Persons","15-19 years","12/13","237.0","223.2","251.5"
"Persons","15-19 years","13/14","242.2","228.3","256.8"
"Persons","15-19 years","14/15","220.6","207.3","234.5"
"Persons","15-19 years","15/16","250.2","236.0","265.0"
"Persons","15-19 years","16/17","269.2","254.6","284.6"
"Persons","15-19 years","17/18","228.8","215.3","242.9"
"Persons","15-19 years","18/19","227.2","213.8","241.3"
"Persons","15-19 years","19/20","230.2","216.7","244.4"
"Persons","15-19 years","20/21","268.9","254.2","284.3"
"Persons","15-19 years","21/22","225.4","212.1","239.4"
"Persons","15-19 years","22/23","172.4","161.0","184.4"
"Persons","15-19 years","23/24","135.0","125.1","145.5"
"Persons","20-24 years","01/02","92.4","83.5","101.9"
"Persons","20-24 years","02/03","94.6","85.7","104.1"
"Persons","20-24 years","03/04","99.6","90.6","109.3"
"Persons","20-24 years","04/05","99.4","90.4","109.0"
"Persons","20-24 years","05/06","103.3","94.2","113.0"
"Persons","20-24 years","06/07","121.0","111.2","131.4"
"Persons","20-24 years","07/08","116.5","107.0","126.6"
"Persons","20-24 years","08/09","114.2","104.9","124.1"
"Persons","20-24 years","09/10","124.3","114.7","134.4"
"Persons","20-24 years","10/11","116.0","106.8","125.9"
"Persons","20-24 years","11/12","127.5","117.8","137.8"
"Persons","20-24 years","12/13","135.9","125.9","146.4"
"Persons","20-24 years","13/14","155.7","145.1","166.9"
"Persons","20-24 years","14/15","174.0","162.8","185.7"
"Persons","20-24 years","15/16","171.2","160.2","182.8"
"Persons","20-24 years","16/17","168.9","158.1","180.3"
"Persons","20-24 years","17/18","168.0","157.2","179.2"
"Persons","20-24 years","18/19","164.6","154.0","175.7"
"Persons","20-24 years","19/20","171.8","161.0","183.2"
"Persons","20-24 years","20/21","168.5","157.5","180.0"
"Persons","20-24 years","21/22","145.7","135.5","156.6"
"Persons","20-24 years","22/23","123.1","113.9","133.0"
"Persons","20-24 years","23/24","101.2","93.0","109.9"
"Persons","25-34 years","01/02","94.8","88.8","101.2"
"Persons","25-34 years","02/03","81.8","76.2","87.7"
"Persons","25-34 years","03/04","81.9","76.3","87.9"
"Persons","25-34 years","04/05","83.8","78.1","89.8"
"Persons","25-34 years","05/06","95.1","89.0","101.5"
"Persons","25-34 years","06/07","105.2","98.8","111.9"
"Persons","25-34 years","07/08","101.7","95.5","108.3"
"Persons","25-34 years","08/09","107.4","101.0","114.0"
"Persons","25-34 years","09/10","104.5","98.3","111.0"
"Persons","25-34 years","10/11","100.6","94.5","107.0"
"Persons","25-34 years","11/12","100.9","94.8","107.2"
"Persons","25-34 years","12/13","110.8","104.5","117.4"
"Persons","25-34 years","13/14","109.3","103.1","115.7"
"Persons","25-34 years","14/15","107.9","101.8","114.2"
"Persons","25-34 years","15/16","115.5","109.3","121.9"
"Persons","25-34 years","16/17","122.0","115.7","128.5"
"Persons","25-34 years","17/18","99.4","93.8","105.3"
"Persons","25-34 years","18/19","94.8","89.3","100.5"
"Persons","25-34 years","19/20","98.6","93.1","104.4"
"Persons","25-34 years","20/21","93.8","88.3","99.4"
"Persons","25-34 years","21/22","81.9","76.8","87.2"
"Persons","25-34 years","22/23","76.1","71.3","81.3"
"Persons","25-34 years","23/24","74.5","69.7","79.4"
"Persons","35-44 years","01/02","79.6","74.2","85.4"
"Persons","35-44 years","02/03","75.8","70.5","81.4"
"Persons","35-44 years","03/04","79.3","73.8","85.0"
